date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2012/9/26	8.1	8.16	7.84	7.8	10038.14	-0.29	-3.57	8.076	8.207	8.246	8895.87	13780.5	17873.67	1.2
2012/9/27	7.84	8.09	8	7.82	9004.98	0.16	2.04	8.064	8.155	8.253	8235.12	11353.14	17639.01	1.07
2012/9/28	7.98	8.15	8.12	7.92	5722.32	0.12	1.5	8.064	8.115	8.262	7976.43	10145.37	17581.13	0.68
2012/10/8	8.12	8.19	8.19	8.07	7188.3	0.07	0.86	8.056	8.12	8.269	7665.85	8672.83	17600.69	0.86
2012/10/9	8.19	8.47	8.38	8.15	11189.16	0.19	2.32	8.106	8.139	8.284	8628.58	8803.95	17603.09	1.33
2012/10/10	8.38	8.58	8.5	8.34	18899.74	0.12	1.43	8.238	8.157	8.304	10400.9	9648.38	18094.15	2.25
2012/10/11	8.48	8.48	8.25	8.24	12290.48	-0.25	-2.94	8.288	8.176	8.307	11058	9646.56	17930.23	1.47
2012/10/12	8.26	8.36	8.26	8.16	10028.17	0.01	0.12	8.316	8.19	8.301	11919.17	9947.8	16848.57	1.2
2012/10/15	8.26	8.32	8.31	8.19	9508.69	0.05	0.6	8.34	8.198	8.29	12383.25	10024.55	15859.07	1.13
2012/10/16	8.26	8.42	8.35	8.23	9946.33	0.04	0.48	8.334	8.22	8.265	12134.68	10381.63	13795.45	1.19
2012/10/17	8.36	8.37	8.34	8.22	6202.89	-0.01	-0.12	8.302	8.27	8.239	9595.31	9998.11	11889.3	0.74
2012/10/18	8.36	8.48	8.43	8.35	10609.66	0.09	1.08	8.338	8.313	8.234	9259.15	10158.57	10755.86	1.26
2012/10/19	8.42	8.63	8.54	8.4	17331.78	0.11	1.3	8.394	8.355	8.235	10719.87	11319.52	10732.44	2.07
2012/10/22	8.53	8.53	8.5	8.42	10259.32	-0.04	-0.47	8.432	8.386	8.253	10870	11626.62	10149.73	1.22
2012/10/23	8.51	8.59	8.48	8.4	12685.38	-0.02	-0.23	8.458	8.396	8.268	11417.81	11776.24	10290.1	1.51
2012/10/24	8.45	8.55	8.54	8.41	9598.65	0.06	0.71	8.498	8.4	8.279	12096.96	10846.13	10247.26	1.14
2012/10/25	8.53	8.62	8.4	8.36	10485.42	-0.14	-1.64	8.492	8.415	8.296	12072.11	10665.63	10156.09	1.25
2012/10/26	8.44	8.49	8.2	8.06	13350.36	-0.2	-2.38	8.424	8.409	8.3	11275.83	10997.85	10472.82	1.59
2012/10/29	8.15	8.33	8.15	8.1	5980.28	-0.05	-0.61	8.354	8.393	8.296	10420.02	10645.01	10334.78	0.71
2012/10/30	8.21	8.21	8.18	8.08	5376.09	0.03	0.37	8.294	8.376	8.298	8958.16	10187.98	10284.81	0.64
2012/10/31	8.22	8.36	8.23	8.15	5347.04	0.05	0.61	8.232	8.365	8.318	8107.84	10102.4	10050.25	0.64
2012/11/1	8.15	8.42	8.32	8.15	10017.21	0.09	1.09	8.216	8.354	8.334	8014.2	10043.15	10100.86	1.19
2012/11/2	8.37	8.48	8.39	8.26	10405.25	0.07	0.84	8.254	8.339	8.347	7425.17	9350.5	10335.01	1.24
2012/11/5	8.45	8.59	8.46	8.36	16697.27	0.07	0.83	8.316	8.335	8.361	9568.57	9994.3	10810.46	1.99
2012/11/6	8.41	8.46	8.3	8.18	11654.9	-0.16	-1.89	8.34	8.317	8.357	10824.33	9891.25	10833.75	1.39
2012/11/7	8.33	8.37	8.28	8.26	5105.64	-0.02	-0.24	8.35	8.291	8.346	10776.05	9441.95	10144.04	0.61
2012/11/8	8.23	8.27	8.1	8.06	7291.39	-0.18	-2.17	8.306	8.261	8.338	10230.89	9122.54	9894.09	0.87
2012/11/9	8.1	8.16	8.06	8.03	5322.11	-0.04	-0.49	8.24	8.247	8.328	9214.26	8319.72	9658.78	0.63
2012/11/12	8.07	8.21	8.2	8.07	7445.61	0.14	1.74	8.188	8.252	8.323	7363.93	8466.25	9555.63	0.89
2012/11/13	8.2	8.21	8.03	8	7713.02	-0.17	-2.07	8.134	8.237	8.307	6575.55	8699.94	9443.96	0.92
2012/11/14	8.02	8.11	8.11	7.97	6492.44	0.08	1	8.1	8.225	8.295	6852.91	8814.48	9458.44	0.77
2012/11/15	8.07	8.12	8.08	7.97	6703.54	-0.03	-0.37	8.096	8.201	8.278	6735.34	8483.12	9263.14	0.8
2012/11/16	8.02	8.06	7.84	7.3	8803.88	-0.24	-2.97	8.052	8.146	8.243	7431.7	8322.98	8836.74	1.05
2012/11/19	7.8	7.9	7.87	7.79	6484.66	0.03	0.38	7.986	8.087	8.211	7239.51	7301.72	8648.01	0.77
2012/11/20	7.9	7.95	7.85	7.77	2929.51	-0.02	-0.25	7.95	8.042	8.18	6282.81	6429.18	8160.21	0.35
2012/11/21	7.85	7.94	7.94	7.77	4392.54	0.09	1.15	7.916	8.008	8.15	5862.83	6357.87	7899.91	0.52
2012/11/22	7.92	7.92	7.8	7.77	3246.99	-0.14	-1.76	7.86	7.978	8.12	5171.52	5953.43	7537.99	0.39
2012/11/23	7.82	7.91	7.89	7.75	3456.5	0.09	1.15	7.87	7.961	8.104	4102.04	5766.87	7043.29	0.41
2012/11/26	7.87	8.02	7.88	7.82	4780.08	-0.01	-0.13	7.872	7.929	8.091	3761.12	5500.32	6983.28	0.57
2012/11/27	7.88	7.9	7.4	7.39	8146.83	-0.48	-6.09	7.782	7.866	8.052	4804.59	5543.7	7121.82	0.97
2012/11/28	7.37	7.44	7.36	7.23	6864.33	-0.04	-0.54	7.666	7.791	8.008	5298.95	5580.89	7197.69	0.82
2012/11/29	7.3	7.43	7.18	7.18	3131	-0.18	-2.45	7.542	7.701	7.951	5275.75	5223.63	6853.37	0.37
2012/11/30	7.18	7.3	7.24	7.1	5095.64	0.06	0.84	7.412	7.641	7.894	5603.58	4852.81	6587.89	0.61
2012/12/3	7.3	7.3	6.96	6.92	7033	-0.28	-3.87	7.228	7.55	7.819	6054.16	4907.64	6104.68	0.84
2012/12/4	6.93	7	6.96	6.41	7086.65	0	0	7.14	7.461	7.752	5842.12	5323.36	5876.27	0.84
2012/12/5	6.95	7.29	7.2	6.91	7104.3	0.24	3.45	7.108	7.387	7.698	5890.12	5594.53	5976.2	0.85
2012/12/6	7.2	7.27	7.19	7.12	4153.98	-0.01	-0.14	7.11	7.326	7.652	6094.71	5685.23	5819.33	0.5
2012/12/7	7.2	7.46	7.44	7.13	9827.63	0.25	3.48	7.15	7.281	7.621	7041.11	6322.34	6044.61	1.17
2012/12/10	7.44	7.58	7.51	7.37	9292.53	0.07	0.94	7.26	7.244	7.587	7493.02	6773.59	6136.95	1.11
2012/12/11	7.49	7.57	7.48	7.42	5733.38	-0.03	-0.4	7.364	7.252	7.559	7222.36	6532.24	6037.97	0.68
2012/12/12	7.44	7.55	7.49	7.39	7215.83	0.01	0.13	7.422	7.265	7.528	7244.67	6567.39	6074.14	0.86
2012/12/13	7.47	7.49	7.34	7.31	3670.3	-0.15	-2	7.452	7.281	7.491	7147.93	6621.32	5922.48	0.44
2012/12/14	7.38	7.92	7.87	7.25	17378.15	0.53	7.22	7.538	7.344	7.493	8658.04	7849.57	6351.19	2.07
2012/12/17	7.8	7.94	7.8	7.7	13981.6	-0.07	-0.89	7.596	7.428	7.489	9595.85	8544.44	6726.04	1.67
2012/12/18	7.76	7.85	7.78	7.66	7475.7	-0.02	-0.26	7.656	7.51	7.486	9944.32	8583.34	6953.35	0.89
2012/12/19	7.77	7.82	7.79	7.73	5528.26	0.01	0.13	7.716	7.569	7.478	9606.8	8425.74	7010.13	0.66
2012/12/20	7.74	7.8	7.78	7.67	5316.22	-0.01	-0.13	7.804	7.628	7.477	9935.99	8541.96	7113.6	0.63
2012/12/21	7.82	7.88	7.79	7.75	5436.57	0.01	0.13	7.788	7.663	7.472	7547.67	8102.85	7212.6	0.65
2012/12/24	7.75	7.93	7.86	7.74	6342.84	0.07	0.9	7.8	7.698	7.471	6019.92	7807.89	7290.74	0.76
2012/12/25	7.84	8.03	7.94	7.79	16193.37	0.08	1.02	7.832	7.744	7.498	7763.45	8853.88	7693.06	1.93
2012/12/26	7.94	8.07	8.04	7.91	10473.12	0.1	1.26	7.882	7.799	7.532	8752.42	9179.61	7873.5	1.25
2012/12/27	8.05	8.19	8.07	8.02	12580.77	0.03	0.37	7.94	7.872	7.577	10205.33	10070.66	8345.99	1.5
2012/12/28	8.18	8.53	8.19	8.11	14980.58	0.12	1.49	8.02	7.904	7.624	12114.14	9830.9	8840.24	1.79
2012/12/31	8.2	8.27	8.18	8.11	10714.04	-0.01	-0.12	8.084	7.942	7.685	12988.38	9504.15	9024.29	1.28
2013/1/4	8.19	8.26	8.12	8.12	9656.02	-0.06	-0.73	8.12	7.976	7.743	11680.91	9722.18	9152.76	1.15
2013/1/7	8.12	8.3	8.2	8.12	11857.69	0.08	0.98	8.152	8.017	7.793	11957.82	10355.12	9390.43	1.41
2013/1/8	8.2	8.38	8.29	8.2	12911.27	0.09	1.1	8.196	8.068	7.848	12023.92	11114.63	9828.29	1.54
2013/1/9	8.3	8.36	8.29	8.22	13362.56	0	0	8.216	8.118	7.891	11700.32	11907.23	10005.04	1.59
2013/1/10	8.28	8.29	8.25	8.2	10097.18	-0.04	-0.48	8.23	8.157	7.928	11576.94	12282.66	10045.27	1.2
2013/1/11	8.25	8.94	8.53	8.18	48577.33	0.28	3.39	8.312	8.216	7.98	19361.21	15521.06	12187.47	5.79
2013/1/14	8.41	8.75	8.7	8.41	37261.54	0.17	1.99	8.412	8.282	8.041	24441.98	18199.9	13689.76	4.44
2013/1/15	8.65	8.9	8.82	8.61	30479.34	0.12	1.38	8.518	8.357	8.115	27955.59	19989.75	15030.21	3.63
2013/1/16	8.82	8.82	8.6	8.47	23377.12	-0.22	-2.49	8.58	8.398	8.151	29958.5	20829.41	15330.16	2.79
2013/1/17	8.61	8.68	8.47	8.44	12761.6	-0.13	-1.51	8.624	8.427	8.185	30491.39	21034.16	15269.16	1.52
2013/1/18	8.49	8.64	8.61	8.45	13381.34	0.14	1.65	8.64	8.476	8.226	23452.19	21406.7	15564.44	1.6
2013/1/21	8.62	8.66	8.62	8.56	12817.8	0.01	0.12	8.624	8.518	8.268	18563.44	21502.71	15928.92	1.53
2013/1/22	8.6	8.62	8.4	8.34	14883.21	-0.22	-2.55	8.54	8.529	8.299	15444.21	21699.9	16407.26	1.77
2013/1/23	8.4	8.64	8.58	8.36	12916.19	0.18	2.14	8.536	8.558	8.338	13352.03	21655.26	16781.25	1.54
2013/1/24	8.6	8.65	8.28	8.18	15114.13	-0.3	-3.5	8.498	8.561	8.359	13822.53	22156.96	17219.81	1.8
2013/1/25	8.28	8.35	8.22	8.17	6754.5	-0.06	-0.72	8.42	8.53	8.373	12497.17	17974.68	16747.87	0.81
2013/1/28	8.24	9.04	9.04	8.24	79822.88	0.82	9.98	8.504	8.564	8.423	25898.18	22230.81	20215.35	9.52
2013/1/29	9.04	9.8	9.35	9.04	101139.26	0.31	3.43	8.694	8.617	8.487	43149.39	29296.8	24643.28	12.06
2013/1/30	9.2	9.75	9.66	9.03	76600.47	0.31	3.32	8.91	8.723	8.561	55886.25	34619.14	27724.27	9.13
2013/1/31	9.48	9.64	9.32	9.26	42286.28	-0.34	-3.52	9.118	8.808	8.618	61320.68	37571.61	29302.89	5.04
2013/2/1	9.32	9.42	9.35	9.18	23487.47	0.03	0.32	9.344	8.882	8.679	64667.27	38582.22	29994.46	2.8
2013/2/4	9.25	9.4	9.11	8.98	20377.07	-0.24	-2.57	9.358	8.931	8.725	52778.11	39338.15	30420.43	2.43
2013/2/5	9.11	9.35	9.24	9.11	22743.24	0.13	1.43	9.336	9.015	8.772	37098.91	40124.15	30912.03	2.71
2013/2/6	9.17	9.3	9.2	9.15	12259.47	-0.04	-0.43	9.244	9.077	8.818	24230.71	40058.48	30856.87	1.46
2013/2/7	9.28	9.28	9.14	9.02	11684.12	-0.06	-0.65	9.208	9.163	8.862	18110.27	39715.48	30936.22	1.39
2013/2/8	9.14	9.39	9.29	9.07	14471.16	0.15	1.64	9.196	9.27	8.9	16307.01	40487.14	29230.91	1.73
2013/2/18	9.3	9.37	9.31	9.2	14449.06	0.02	0.21	9.236	9.297	8.931	15121.41	33949.76	28090.29	1.72
2013/2/19	9.31	9.31	9.1	9.07	11146.15	-0.21	-2.26	9.208	9.272	8.945	12801.99	24950.45	27123.63	1.33
2013/2/20	9.1	9.3	9.28	9.08	11482.56	0.18	1.98	9.224	9.234	8.979	12646.61	18438.66	26528.9	1.37
2013/2/21	9.28	9.55	9.45	9.08	20833.79	0.17	1.83	9.286	9.247	9.028	14476.54	16293.41	26932.51	2.48
2013/2/22	9.45	9.48	9.39	9.29	11697.43	-0.06	-0.64	9.306	9.251	9.067	13921.8	15114.41	26848.31	1.39
2013/2/25	9.4	9.72	9.71	9.29	26705.27	0.32	3.41	9.386	9.311	9.121	16373.04	15747.22	27542.69	3.18
2013/2/26	9.99	10.68	10.34	9.98	82569.14	0.63	6.49	9.634	9.421	9.218	30657.64	21729.82	30926.98	9.84
2013/2/27	10.01	10.3	10.25	9.71	50076.12	-0.09	-0.87	9.828	9.526	9.302	38376.35	25511.48	32784.98	5.97
2013/2/28	10.21	10.21	10.05	9.95	28126.5	-0.2	-1.95	9.948	9.617	9.39	39834.89	27155.72	33435.6	3.35
2013/3/1	10.06	10.11	10.1	9.82	22144.93	0.05	0.5	10.09	9.698	9.484	41924.39	27923.1	34205.12	2.64
2013/3/4	10.02	10.28	9.89	9.87	27297.86	-0.21	-2.08	10.126	9.756	9.527	42042.91	29207.98	31578.87	3.25
2013/3/5	9.89	10.07	10.02	9.82	15449.15	0.13	1.31	10.062	9.848	9.56	28618.91	29638.28	27294.36	1.84
2013/3/6	10.02	10.3	10.27	9.98	24366.47	0.25	2.5	10.066	9.947	9.591	23476.98	30926.67	24682.66	2.91
2013/3/7	10.24	10.43	10.38	10.08	32901.86	0.11	1.07	10.132	10.04	9.644	24432.05	32133.47	24213.44	3.92
2013/3/8	10.36	10.48	10.01	10	19826.63	-0.37	-3.56	10.114	10.102	9.677	23968.39	32946.39	24030.4	2.36
2013/3/11	10.01	10.15	10.06	9.87	10789.43	0.05	0.5	10.148	10.137	9.724	20666.71	31354.81	23551.02	1.29
2013/3/12	10.13	10.13	9.5	9.26	19854.86	-0.56	-5.57	10.044	10.053	9.737	21547.85	25083.38	23406.6	2.37
2013/3/13	9.23	9.57	9.41	9.23	7825.57	-0.09	-0.95	9.872	9.969	9.748	18239.67	20858.33	23184.9	0.93
2013/3/14	9.41	9.46	9.26	9.25	10416.11	-0.15	-1.59	9.648	9.89	9.754	13742.52	19087.29	23121.5	1.24
2013/3/15	9.26	9.46	9.29	9.26	7461.89	0.03	0.32	9.504	9.809	9.754	11269.57	17618.98	22771.04	0.89
2013/3/18	9.29	9.39	9.28	9.22	8122.26	-0.01	-0.11	9.348	9.748	9.752	10736.14	15701.42	22454.7	0.97
2013/3/19	9.3	9.38	9.32	9.23	8317.26	0.04	0.43	9.312	9.678	9.763	8428.62	14988.23	22313.25	0.99
2013/3/20	9.35	9.57	9.52	9.3	9162.7	0.2	2.15	9.334	9.603	9.775	8696.04	13467.86	22197.26	1.09
2013/3/21	9.53	9.79	9.63	9.45	10875.49	0.11	1.16	9.408	9.528	9.784	8787.92	11265.22	21699.35	1.3
2013/3/22	9.62	9.73	9.68	9.59	7758.31	0.05	0.52	9.486	9.495	9.799	8847.2	10058.39	21502.39	0.92
2013/3/25	9.7	9.74	9.65	9.5	10087.46	-0.03	-0.31	9.56	9.454	9.796	9240.24	9988.19	20671.5	1.2
2013/3/26	9.64	9.64	9.6	9.26	9097.35	-0.05	-0.52	9.616	9.464	9.759	9396.26	8912.44	16997.91	1.08
2013/3/27	9.6	9.79	9.73	9.55	11956.39	0.13	1.35	9.658	9.496	9.733	9955	9325.52	15091.92	1.43
2013/3/28	9.78	9.78	9.54	9.49	11831.26	-0.19	-1.95	9.64	9.524	9.707	10146.15	9467.04	14277.16	1.41
2013/3/29	9.54	9.66	9.54	9.45	7837.99	0	0	9.612	9.549	9.679	10162.09	9504.65	13561.81	0.93
2013/4/1	9.56	9.59	9.54	9.4	9668.86	0	0	9.59	9.575	9.662	10078.37	9659.31	12680.37	1.15
2013/4/2	9.51	9.82	9.82	9.51	21914.25	0.28	2.94	9.634	9.625	9.652	12641.75	11019.01	13003.62	2.61
2013/4/3	9.81	10.8	10.3	9.8	59379.73	0.48	4.89	9.748	9.703	9.653	22126.42	16040.71	14754.28	7.08
2013/4/8	10.32	10.35	10.2	9.81	34781.99	-0.1	-0.97	9.88	9.76	9.644	26716.56	18431.36	14848.29	4.15
2013/4/9	10.2	10.24	10.19	9.98	17737.96	-0.01	-0.1	10.01	9.811	9.653	28696.56	19429.32	14743.86	2.11
2013/4/10	10.21	10.24	10.03	9.98	10966.92	-0.16	-1.57	10.108	9.849	9.652	28956.17	19517.27	14752.73	1.31
2013/4/11	10.03	10.25	10.02	10	12349.31	-0.01	-0.1	10.148	9.891	9.678	27043.18	19842.47	14377.45	1.47
2013/4/12	10.02	10.37	10.27	10.02	23719.77	0.25	2.5	10.142	9.945	9.721	19911.19	21018.8	15172.16	2.83
2013/4/15	10.3	10.64	10.36	10.28	25324.88	0.09	0.88	10.174	10.027	9.776	18019.77	22368.17	15917.6	3.02
2013/4/16	10.09	10.27	10.15	10	11062.96	-0.21	-2.03	10.166	10.088	9.819	16684.77	22690.66	16097.66	1.32
2013/4/17	10.06	10.98	10.97	10.06	47395.92	0.82	8.08	10.354	10.231	9.903	23970.57	26463.37	18061.34	5.65
2013/4/18	10.75	10.88	10.64	10.61	26225.53	-0.33	-3.01	10.478	10.313	9.969	26745.81	26894.5	18956.75	3.13
2013/4/19	10.7	10.76	10.68	10.55	28229.66	0.04	0.38	10.56	10.351	10.027	27647.79	23779.49	19910.1	3.37
2013/4/22	10.67	11.15	10.78	10.61	35826.48	0.1	0.94	10.644	10.409	10.085	29748.11	23883.94	21157.65	4.27
2013/4/23	10.79	10.8	10.31	10.13	25648.77	-0.47	-4.36	10.676	10.421	10.116	32665.27	24675.02	22052.17	3.06
2013/4/24	10.36	10.65	10.64	10.21	20900.17	0.33	3.2	10.61	10.482	10.166	27366.12	25668.35	22592.81	2.49
2013/5/7	11.7	11.7	11.7	11	70050.11	1.06	9.96	10.822	10.65	10.271	36131.04	31438.43	25640.45	8.35
2013/5/8	11.82	12.87	12.86	11.8	140362.41	1.16	9.91	11.258	10.909	10.427	58557.59	43102.69	32060.75	16.73
2013/5/9	12.58	12.7	12.46	12.08	93883.06	-0.4	-3.11	11.594	11.119	10.573	70168.9	49958.51	36163.34	11.19
2013/5/10	12.35	12.57	12.2	12.01	51879.94	-0.26	-2.09	11.972	11.324	10.706	75415.14	54040.21	38365.43	6.19
2013/5/13	12.2	12.26	12.19	11.72	50610.01	-0.01	-0.08	12.282	11.446	10.839	81357.11	54361.61	40412.49	6.03
2013/5/14	11.99	12.38	12.05	11.9	34037.21	-0.14	-1.15	12.352	11.587	10.95	74154.53	55142.78	41018.64	4.06
2013/5/15	12.1	12.2	12.01	11.77	28743.07	-0.04	-0.33	12.182	11.72	11.036	51830.66	55194.12	39486.81	3.43
2013/5/16	11.94	12.15	12	11.91	24024.9	-0.01	-0.08	12.09	11.842	11.126	37859.03	54013.96	38948.95	2.86
2013/5/17	11.93	12.17	12.15	11.92	30199	0.15	1.25	12.08	12.026	11.224	33522.84	54468.99	39572	3.6
2013/5/20	12.15	12.33	11.9	11.74	42666.69	-0.25	-2.06	12.022	12.152	11.317	31934.17	56645.64	41156.99	5.09
2013/5/21	11.83	12.14	11.9	11.76	28141.86	0	0	11.992	12.172	11.411	30755.1	52454.82	41946.62	3.36
2013/5/22	11.89	12.19	12.19	11.81	48419.47	0.29	2.44	12.028	12.105	11.507	34690.38	43260.52	43181.61	5.77
2013/5/23	12.26	12.48	11.93	11.87	40855.68	-0.26	-2.13	12.014	12.052	11.586	38056.54	37957.78	43958.15	4.87
2013/5/24	11.83	11.92	11.7	11.56	32655.77	-0.23	-1.93	11.924	12.002	11.663	38547.89	36035.37	45037.79	3.89
2013/5/27	11.8	11.98	11.81	11.6	24988.36	0.11	0.94	11.906	11.964	11.705	35012.23	33473.2	43917.41	2.98
2013/5/28	11.8	11.81	11.56	11.3	27160.6	-0.25	-2.12	11.838	11.915	11.751	34815.98	32785.54	43964.16	3.24
2013/5/29	11.56	11.7	11.66	11.4	18112.09	0.1	0.86	11.732	11.88	11.8	28754.5	31722.44	43458.28	2.16
2013/5/30	11.63	12.04	12.01	11.58	30006.3	0.35	3	11.748	11.881	11.862	26584.62	32320.58	43167.27	3.58
2013/5/31	12	12.14	11.73	11.71	21919.6	-0.28	-2.33	11.754	11.839	11.933	24437.39	31492.64	42980.82	2.61
2013/6/3	11.73	11.93	11.67	11.53	18224.16	-0.06	-0.51	11.726	11.816	11.984	23084.55	29048.39	42847.01	2.17
2013/6/4	11.66	11.73	11.3	11.25	15225.8	-0.37	-3.17	11.674	11.756	11.964	20697.59	27756.78	40105.8	1.82
2013/6/5	11.29	11.4	11.21	11.05	14660.7	-0.09	-0.8	11.584	11.658	11.882	20007.31	24380.91	33820.71	1.75
2013/6/6	11.15	11.21	11.21	11.03	12004.1	0	0	11.424	11.586	11.819	16406.87	21495.75	29726.77	1.43
2013/6/7	11.19	11.35	11.15	11.05	10987.02	-0.06	-0.54	11.308	11.531	11.767	14220.36	19328.87	27682.12	1.31
2013/6/13	10.32	11.15	10.82	10.32	13790.77	-0.33	-2.96	11.138	11.432	11.698	13333.68	18209.11	25841.16	1.64
2013/6/14	10.8	11.04	10.85	10.8	10471.11	0.03	0.28	11.048	11.361	11.638	12382.74	16540.17	24662.85	1.25
2013/6/17	10.9	11.35	11.16	10.82	13095.8	0.31	2.86	11.038	11.311	11.596	12069.76	16038.54	23880.49	1.56
2013/6/18	11.25	11.27	11.03	10.9	9420.58	-0.13	-1.17	11.002	11.213	11.547	11553.06	13979.96	23150.27	1.12
2013/6/19	11	11.02	10.96	10.75	7006.49	-0.07	-0.64	10.964	11.136	11.488	10756.95	12488.65	21990.65	0.84
2013/6/20	10.91	11.38	10.98	10.83	20075.2	0.02	0.18	10.996	11.067	11.442	12013.84	12673.76	20861.07	2.39
2013/6/21	10.89	11.35	11.3	10.62	24662.75	0.32	2.91	11.086	11.067	11.412	14852.16	13617.45	20687.12	2.94
2013/6/24	11.3	11.35	10.17	10.17	24317.58	-1.13	-10	10.888	10.963	11.311	17096.52	14583.14	19482.02	2.9
2013/6/25	9.91	10	9.6	9.15	32012.34	-0.57	-5.61	10.602	10.802	11.194	21614.87	16583.96	19039.86	3.82
2013/6/26	9.6	9.85	9.79	9.48	15642.18	0.19	1.98	10.368	10.666	11.099	23342.01	17049.48	18189.18	1.86
2013/6/27	9.8	10.02	9.69	9.62	18718.16	-0.1	-1.02	10.11	10.553	10.993	23070.6	17542.22	17875.67	2.23
2013/6/28	9.53	10	10	9.26	15827.76	0.31	3.2	9.85	10.468	10.915	21303.6	18077.88	17309.02	1.89
2013/7/1	10	10	9.99	9.78	8085.81	-0.01	-0.1	9.814	10.351	10.831	18057.25	17576.89	16807.71	0.96
